trait,likability-rating (/700)
childish,109
superficial,109
ungrateful,109
selfconceited,108
hardhearted,107
unfair,107
irresponsible,106
prejudiced,106
bragging,104
jealous,104
unpleasant,104
unreliable,104
impolite,103
crude,102
nosey,102
humorless,101
quarrelsome,101
abusive,100
distrustful,99
intolerant,98
unforgiving,98
boring,97
unethical,97
unreasonable,97
selfcentered,96
snobbish,96
unkindly,96
illmannered,95
illtempered,95
unfriendly,92
hostile,91
dislikable,90
ultracritical,90
offensive,88
belligerent,86
underhanded,86
annoying,84
disrespectful,83
loudmouthed,83
selfish,82
narrowminded,80
vulgar,79
heartless,78
insolent,78
thoughtless,77
rude,76
conceited,74
greedy,72
spiteful,72
insulting,69
insincere,66
unkind,66
untrustworthy,65
deceitful,62
dishonorable,52
malicious,52
obnoxious,48
untruthful,43
dishonest,41
cruel,40
mean,37
phony,27
liar,26
