ID,Age,Gender,Group,Routine,NBlocks,NSets4Block,Block,Set,SetInd,Triplet,Type,Prime1Dur,Prime2Dur,Prime3Dur,Named1Dur,Named2Dur,Named1Snd2VisDelay,Named2Snd2VisDelay,TargetSnd2VisDelay,Named1StmCode,Named2StmCode,TargetCode,TargetNRsp,TargetACC,TargetRT,TargetRTThresh,TargetRewardGiven?,
22,21,2,1,2,10,5,1,1,1,1,3,117,116,116,834,833,200,200,200,1003,2,1004,1,1,673,1148,0,
22,21,2,1,2,10,5,1,1,1,2,7,117,117,117,833,833,200,200,200,110,105,129,1,1,774,1092,0,
22,21,2,1,2,10,5,1,1,1,3,8,116,117,117,833,833,200,200,200,105,129,111,1,1,731,993,0,
22,21,2,1,2,10,5,1,1,1,4,1,116,117,117,833,833,200,200,200,1001,1,1002,1,1,932,937,0,
22,21,2,1,2,10,5,1,1,1,5,6,117,117,117,833,833,200,200,200,1006,110,1007,1,1,712,931,0,
22,21,2,1,2,10,5,1,1,1,6,4,116,117,117,833,833,200,200,200,1003,2,1005,1,1,849,923,0,
22,21,2,1,2,10,5,1,1,1,7,5,117,117,117,833,833,200,200,200,1006,118,1007,1,1,1025,889,0,
22,21,2,1,2,10,5,1,1,1,8,2,117,116,117,834,833,200,200,200,1001,1,1002,1,1,793,889,0,
22,21,2,1,2,10,5,1,2,2,1,7,117,116,116,833,834,200,200,200,115,136,117,1,1,974,855,0,
22,21,2,1,2,10,5,1,2,2,2,3,117,117,116,833,833,200,200,200,1003,2,1004,1,1,731,855,0,
22,21,2,1,2,10,5,1,2,2,3,8,117,117,117,833,833,200,200,200,136,117,147,1,1,907,847,0,
22,21,2,1,2,10,5,1,2,2,4,2,116,117,117,833,833,200,200,200,1001,1,1002,1,1,893,855,0,
22,21,2,1,2,10,5,1,2,2,5,6,117,116,116,834,833,200,200,200,1006,115,1007,1,1,837,855,0,
22,21,2,1,2,10,5,1,2,2,6,1,116,117,117,833,833,200,200,200,1001,1,1002,1,1,654,847,0,
