ID,Age,Gender,Group,Routine,NBlocks,NSets4Block,Block,Set,SetInd,Triplet,Type,Prime1Dur,Prime2Dur,Prime3Dur,Named1Dur,Named2Dur,Named1Snd2VisDelay,Named2Snd2VisDelay,TargetSnd2VisDelay,Named1StmCode,Named2StmCode,TargetCode,TargetNRsp,TargetACC,TargetRT,TargetRTThresh,TargetRewardGiven?,
04,20,2,1,1,10,5,1,1,1,1,3,117,117,117,833,833,200,200,200,1003,2,1004,1,1,691,905,0,
04,20,2,1,1,10,5,1,1,1,2,7,117,116,117,833,833,200,200,200,110,105,129,1,1,850,839,0,
04,20,2,1,1,10,5,1,1,1,3,8,117,117,117,833,833,200,200,200,105,129,111,1,1,814,866,0,
04,20,2,1,1,10,5,1,1,1,4,1,116,116,116,833,834,200,200,200,1001,1,1002,1,1,618,832,0,
04,20,2,1,1,10,5,1,1,1,5,6,117,117,116,833,834,200,200,200,1006,110,1007,1,1,1099,832,0,
04,20,2,1,1,10,5,1,1,1,6,4,117,117,117,833,833,200,200,200,1003,2,1005,1,1,1267,889,0,
04,20,2,1,1,10,5,1,1,1,7,5,117,116,117,833,834,200,200,200,1006,118,1007,1,1,844,889,0,
04,20,2,1,1,10,5,1,1,1,8,2,117,118,117,833,833,200,200,200,1001,1,1002,1,1,849,889,0,
04,20,2,1,1,10,5,1,2,2,1,5,117,117,117,833,833,200,200,200,1006,111,1007,2270,0,1036,850,0,
04,20,2,1,1,10,5,1,2,2,2,1,117,117,117,834,833,200,200,200,1001,1,1002,1,1,784,850,0,
04,20,2,1,1,10,5,1,2,2,3,7,118,116,117,832,833,200,200,200,122,147,146,1,1,699,847,0,
04,20,2,1,1,10,5,1,2,2,4,6,116,117,117,833,833,200,200,200,1006,122,1007,1,1,555,847,0,
04,20,2,1,1,10,5,1,2,2,5,8,116,117,117,833,833,200,200,200,147,146,110,1,1,711,829,0,
04,20,2,1,1,10,5,1,2,2,6,4,117,116,117,834,833,200,200,200,1003,2,1005,1,1,928,829,0,
04,20,2,1,1,10,5,1,2,2,7,2,117,117,116,833,833,200,200,200,1001,1,1002,1,1,584,829,0,
04,20,2,1,1,10,5,1,2,2,8,3,117,117,117,833,833,200,200,200,1003,2,1004,1578,0,995,829,0,
04,20,2,1,1,10,5,1,3,3,1,1,117,117,116,833,833,200,200,200,1001,1,1002,1,1,644,847,0,
04,20,2,1,1,10,5,1,3,3,2,5,117,117,116,833,834,200,200,200,1006,128,1007,1,1,788,847,0,
04,20,2,1,1,10,5,1,3,3,3,4,116,117,116,833,834,200,200,200,1003,2,1005,1,1,803,829,0,
04,20,2,1,1,10,5,1,3,3,4,2,117,117,116,833,834,200,200,200,1001,1,1002,1,1,572,808,0,
04,20,2,1,1,10,5,1,3,3,5,3,116,117,116,833,833,200,200,200,1003,2,1004,1,1,1659,796,0,
04,20,2,1,1,10,5,1,3,3,6,7,116,116,117,901,833,200,200,200,125,109,138,628,0,1001,808,0,
04,20,2,1,1,10,5,1,3,3,7,6,117,117,117,833,899,200,200,200,1006,125,1007,1,1,1044,808,0,
04,20,2,1,1,10,5,1,3,3,8,8,117,117,117,833,833,200,200,200,109,138,131,1,1,808,824,0,
04,20,2,1,1,10,5,1,4,4,1,5,117,117,117,833,833,200,200,200,1006,129,1007,1,1,765,826,0,
04,20,2,1,1,10,5,1,4,4,2,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,943,806,0,
04,20,2,1,1,10,5,1,4,4,3,8,117,117,117,833,900,200,200,200,147,125,117,886,0,836,806,0,
04,20,2,1,1,10,5,1,4,4,4,3,116,117,117,834,833,200,200,200,1003,2,1004,1,1,786,806,0,
04,20,2,1,1,10,5,1,4,4,5,7,117,116,117,833,833,200,200,200,110,147,125,1,1,950,796,0,
04,20,2,1,1,10,5,1,4,4,6,4,115,116,117,834,833,200,200,200,1003,2,1005,1,1,766,796,0,
04,20,2,1,1,10,5,1,4,4,7,6,116,117,117,833,833,200,200,200,1006,110,1007,1,1,709,796,0,
04,20,2,1,1,10,5,1,4,4,8,1,117,117,117,833,833,200,200,200,1001,1,1002,1,1,775,796,0,
04,20,2,1,1,10,5,1,5,5,1,4,117,115,117,834,833,200,200,200,1003,2,1005,1,1,745,796,0,
04,20,2,1,1,10,5,1,5,5,2,1,116,116,116,833,834,200,200,200,1001,1,1002,1,1,542,796,0,
04,20,2,1,1,10,5,1,5,5,3,5,117,117,116,833,833,200,200,200,1006,118,1007,1,1,780,787,0,
04,20,2,1,1,10,5,1,5,5,4,3,117,117,117,833,833,200,200,200,1003,2,1004,1,1,686,787,0,
04,20,2,1,1,10,5,1,5,5,5,8,116,117,117,833,833,200,200,200,151,137,136,1,1,816,783,0,
04,20,2,1,1,10,5,1,5,5,6,6,117,117,117,833,833,200,200,200,1006,132,1007,1,1,764,787,0,
04,20,2,1,1,10,5,1,5,5,7,7,117,117,117,833,833,200,200,200,132,151,137,1554,0,1303,783,0,
04,20,2,1,1,10,5,1,5,5,8,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,670,783,0,
04,20,2,1,1,10,5,2,1,6,1,4,117,117,117,833,834,200,200,200,1003,2,1005,1,1,777,783,0,
04,20,2,1,1,10,5,2,1,6,2,5,117,116,117,834,833,200,200,200,1006,146,1007,1,1,701,779,0,
04,20,2,1,1,10,5,2,1,6,3,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,1098,776,0,
04,20,2,1,1,10,5,2,1,6,4,8,117,117,116,833,834,200,200,200,136,129,119,1,1,798,776,0,
04,20,2,1,1,10,5,2,1,6,5,7,116,117,117,834,833,200,200,200,106,136,129,1,1,909,776,0,
04,20,2,1,1,10,5,2,1,6,6,3,116,117,117,834,832,200,200,200,1003,2,1004,1,1,714,779,0,
04,20,2,1,1,10,5,2,1,6,7,6,117,117,118,833,833,200,200,200,1006,106,1007,1,1,883,776,0,
04,20,2,1,1,10,5,2,1,6,8,1,116,116,116,834,834,200,200,200,1001,1,1002,1,1,612,776,0,
04,20,2,1,1,10,5,2,2,7,1,5,117,117,117,833,834,200,200,200,1006,121,1007,1,1,625,771,0,
04,20,2,1,1,10,5,2,2,7,2,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,1000,765,0,
04,20,2,1,1,10,5,2,2,7,3,6,117,117,117,833,833,200,200,200,1006,105,1007,1,1,782,770,0,
04,20,2,1,1,10,5,2,2,7,4,4,117,117,117,833,833,200,200,200,1003,2,1005,1,1,731,776,0,
04,20,2,1,1,10,5,2,2,7,5,7,116,117,117,834,832,200,200,200,105,148,137,1,1,1053,771,0,
04,20,2,1,1,10,5,2,2,7,6,8,117,117,116,833,834,201,200,200,148,137,109,1,1,737,779,0,
04,20,2,1,1,10,5,2,2,7,7,1,117,117,117,832,833,200,200,200,1001,1,1002,1,1,666,779,0,
04,20,2,1,1,10,5,2,2,7,8,3,116,117,117,833,833,200,200,200,1003,2,1004,1,1,699,771,0,
04,20,2,1,1,10,5,2,3,8,1,7,117,117,117,833,833,200,200,200,112,116,149,1,1,857,771,0,
04,20,2,1,1,10,5,2,3,8,2,8,117,118,116,833,833,200,200,200,116,149,136,1,1,832,771,0,
04,20,2,1,1,10,5,2,3,8,3,6,117,116,117,833,833,200,200,200,1006,112,1007,1,1,706,780,0,
04,20,2,1,1,10,5,2,3,8,4,4,116,117,117,833,833,200,200,200,1003,2,1005,1,1,1255,757,0,
04,20,2,1,1,10,5,2,3,8,5,1,116,117,117,833,833,200,200,200,1001,1,1002,1,1,874,780,0,
04,20,2,1,1,10,5,2,3,8,6,3,117,116,117,834,833,200,200,200,1003,2,1004,1,1,717,790,0,
04,20,2,1,1,10,5,2,3,8,7,5,117,117,117,833,833,200,200,200,1006,151,1007,891,0,921,790,0,
04,20,2,1,1,10,5,2,3,8,8,2,117,117,116,833,834,200,200,200,1001,1,1002,1,1,569,790,0,
04,20,2,1,1,10,5,2,4,9,1,5,117,117,116,833,834,200,200,200,1006,112,1007,1,1,843,760,0,
04,20,2,1,1,10,5,2,4,9,2,3,116,117,117,834,833,200,200,200,1003,2,1004,1,1,729,760,0,
04,20,2,1,1,10,5,2,4,9,3,1,118,117,117,832,833,200,200,200,1001,1,1002,1,1,696,760,0,
04,20,2,1,1,10,5,2,4,9,4,7,117,117,117,833,833,200,200,200,147,152,149,1,1,732,734,0,
04,20,2,1,1,10,5,2,4,9,5,6,115,117,117,833,833,200,200,200,1006,147,1007,1,1,678,735,0,
04,20,2,1,1,10,5,2,4,9,6,4,116,116,117,833,833,200,200,200,1003,2,1005,1,1,879,735,0,
04,20,2,1,1,10,5,2,4,9,7,8,118,117,117,832,833,200,200,200,152,149,117,1,1,785,735,0,
04,20,2,1,1,10,5,2,4,9,8,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,573,735,0,
04,20,2,1,1,10,5,2,5,10,1,7,116,116,117,833,833,200,200,200,107,124,120,1,1,775,735,0,
04,20,2,1,1,10,5,2,5,10,2,8,117,117,117,833,832,201,200,200,124,120,146,1,1,746,735,0,
04,20,2,1,1,10,5,2,5,10,3,6,117,117,117,833,832,200,200,200,1006,107,1007,1,1,581,739,0,
04,20,2,1,1,10,5,2,5,10,4,4,117,117,116,833,834,200,200,200,1003,2,1005,1,1,1162,739,0,
04,20,2,1,1,10,5,2,5,10,5,1,116,117,115,833,834,200,200,200,1001,1,1002,1,1,864,760,0,
04,20,2,1,1,10,5,2,5,10,6,3,114,117,117,833,833,200,200,200,1003,2,1004,1,1,1000,760,0,
04,20,2,1,1,10,5,2,5,10,7,5,116,117,118,833,833,200,200,200,1006,109,1007,1,1,1003,760,0,
04,20,2,1,1,10,5,2,5,10,8,2,116,117,117,834,833,200,200,200,1001,1,1002,1,1,639,780,0,
04,20,2,1,1,10,5,3,1,11,1,4,117,116,117,834,833,200,200,200,1003,2,1005,1,1,823,760,0,
04,20,2,1,1,10,5,3,1,11,2,8,116,117,117,833,833,200,200,200,123,129,111,1,1,757,760,0,
04,20,2,1,1,10,5,3,1,11,3,2,116,117,117,833,833,200,200,200,1001,1,1002,1,1,787,766,0,
04,20,2,1,1,10,5,3,1,11,4,7,117,117,117,833,833,200,200,200,145,123,129,1,1,801,766,0,
04,20,2,1,1,10,5,3,1,11,5,5,117,117,116,833,833,200,200,200,1006,128,1007,1,1,916,780,0,
04,20,2,1,1,10,5,3,1,11,6,3,117,117,117,833,833,200,200,200,1003,2,1004,1,1,1401,780,0,
04,20,2,1,1,10,5,3,1,11,7,6,117,117,115,833,834,200,200,200,1006,145,1007,1,1,1458,786,0,
04,20,2,1,1,10,5,3,1,11,8,1,116,117,116,833,833,200,200,200,1001,1,1002,1,1,792,794,0,
04,20,2,1,1,10,5,3,2,12,1,8,117,117,117,833,900,200,200,200,145,125,120,1,1,620,797,0,
04,20,2,1,1,10,5,3,2,12,2,6,117,117,117,833,833,200,200,200,1006,122,1007,1,1,784,797,0,
04,20,2,1,1,10,5,3,2,12,3,7,117,117,118,833,833,200,200,200,122,145,125,1,1,842,790,0,
04,20,2,1,1,10,5,3,2,12,4,1,117,116,117,833,833,200,200,200,1001,1,1002,1,1,866,797,0,
04,20,2,1,1,10,5,3,2,12,5,4,117,119,116,833,832,200,200,200,1003,2,1005,1,1,1654,812,0,
04,20,2,1,1,10,5,3,2,12,6,2,117,116,117,833,833,200,200,200,1001,1,1002,1,1,687,832,0,
04,20,2,1,1,10,5,3,2,12,7,3,116,117,116,833,833,200,200,200,1003,2,1004,1,1,903,832,0,
04,20,2,1,1,10,5,3,2,12,8,5,116,117,117,833,833,200,200,200,1006,119,1007,1,1,768,853,0,
04,20,2,1,1,10,5,3,3,13,1,4,116,116,117,834,833,200,200,200,1003,2,1005,1,1,788,832,0,
04,20,2,1,1,10,5,3,3,13,2,6,117,117,117,833,833,200,200,200,1006,116,1007,1,1,1446,812,0,
04,20,2,1,1,10,5,3,3,13,3,2,116,117,116,833,833,200,200,200,1001,1,1002,1,1,744,812,0,
04,20,2,1,1,10,5,3,3,13,4,7,116,115,117,835,833,200,200,200,116,144,112,1,1,983,797,0,
04,20,2,1,1,10,5,3,3,13,5,5,117,117,117,833,834,200,200,200,1006,111,1007,1,1,2023,812,0,
04,20,2,1,1,10,5,3,3,13,6,3,117,117,116,833,833,200,200,200,1003,2,1004,1,1,646,822,0,
04,20,2,1,1,10,5,3,3,13,7,8,116,116,117,833,834,200,200,200,144,112,113,1,1,893,822,0,
04,20,2,1,1,10,5,3,3,13,8,1,116,116,117,833,834,200,200,200,1001,1,1002,1,1,1223,854,0,
04,20,2,1,1,10,5,3,4,14,1,5,117,117,117,833,833,200,200,200,1006,127,1007,1,1,1235,879,0,
04,20,2,1,1,10,5,3,4,14,2,7,116,117,117,834,833,200,200,200,119,110,121,1,1,679,879,0,
04,20,2,1,1,10,5,3,4,14,3,4,117,117,117,833,833,200,200,200,1003,2,1005,1,1,921,854,0,
04,20,2,1,1,10,5,3,4,14,4,1,117,117,115,833,835,200,200,200,1001,1,1002,1,1,754,854,0,
04,20,2,1,1,10,5,3,4,14,5,8,117,116,117,834,833,200,200,200,110,121,112,1,1,1213,854,0,
04,20,2,1,1,10,5,3,4,14,6,3,117,117,117,833,833,200,200,200,1003,2,1004,1,1,892,879,0,
04,20,2,1,1,10,5,3,4,14,7,6,117,117,117,833,833,200,200,200,1006,119,1007,1,1,872,892,0,
04,20,2,1,1,10,5,3,4,14,8,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,640,892,0,
04,20,2,1,1,10,5,3,5,15,1,4,117,117,117,834,833,200,200,200,1003,2,1005,1,1,920,892,0,
04,20,2,1,1,10,5,3,5,15,2,1,117,117,116,833,834,200,200,200,1001,1,1002,1,1,614,892,0,
04,20,2,1,1,10,5,3,5,15,3,6,117,117,117,833,833,200,200,200,1006,114,1007,1,1,1383,892,0,
04,20,2,1,1,10,5,3,5,15,4,7,117,117,116,833,833,200,200,200,114,151,132,1,1,978,892,0,
04,20,2,1,1,10,5,3,5,15,5,8,117,117,117,833,833,200,200,200,151,132,130,1,1,597,906,0,
04,20,2,1,1,10,5,3,5,15,6,3,118,116,116,833,833,200,200,200,1003,2,1004,1,1,883,906,0,
04,20,2,1,1,10,5,3,5,15,7,2,117,117,116,833,833,200,200,200,1001,1,1002,1,1,735,892,0,
04,20,2,1,1,10,5,3,5,15,8,5,116,117,118,834,899,200,200,200,1006,125,1007,1,1,1159,892,0,
04,20,2,1,1,10,5,4,1,16,1,8,117,117,117,833,833,200,200,200,133,104,118,1,1,1008,892,0,
04,20,2,1,1,10,5,4,1,16,2,5,117,117,117,833,833,200,200,200,1006,136,1007,1,1,702,892,0,
04,20,2,1,1,10,5,4,1,16,3,4,117,117,116,833,834,200,200,200,1003,2,1005,1,1,752,892,0,
04,20,2,1,1,10,5,4,1,16,4,2,117,117,116,832,834,200,200,200,1001,1,1002,1,1,711,887,0,
04,20,2,1,1,10,5,4,1,16,5,3,117,117,117,834,832,200,200,200,1003,2,1004,1,1,640,877,0,
04,20,2,1,1,10,5,4,1,16,6,7,117,117,117,833,833,200,200,200,137,133,104,1,1,654,813,0,
04,20,2,1,1,10,5,4,1,16,7,1,116,117,117,833,833,200,200,200,1001,1,1002,1,1,641,813,0,
04,20,2,1,1,10,5,4,1,16,8,6,117,117,117,833,833,200,200,200,1006,137,1007,1,1,682,753,0,
04,20,2,1,1,10,5,4,2,17,1,1,117,117,117,833,833,200,200,200,1001,1,1002,1,1,693,743,0,
04,20,2,1,1,10,5,4,2,17,2,5,117,117,117,833,833,200,200,200,1006,102,1007,1,1,1087,723,0,
04,20,2,1,1,10,5,4,2,17,3,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,676,723,0,
04,20,2,1,1,10,5,4,2,17,4,4,117,116,117,834,833,200,200,200,1003,2,1005,681,0,1273,706,0,
04,20,2,1,1,10,5,4,2,17,5,8,116,117,116,833,833,200,200,200,120,151,122,1,1,1048,723,0,
04,20,2,1,1,10,5,4,2,17,6,3,117,117,117,833,833,200,200,200,1003,2,1004,1,1,964,723,0,
04,20,2,1,1,10,5,4,2,17,7,7,117,116,117,833,833,200,200,200,121,120,151,1,1,1155,743,0,
04,20,2,1,1,10,5,4,2,17,8,6,117,117,117,833,833,200,200,200,1006,121,1007,1,1,654,743,0,
04,20,2,1,1,10,5,4,3,18,1,7,116,117,116,833,833,200,200,200,120,134,139,1,1,799,723,0,
04,20,2,1,1,10,5,4,3,18,2,4,117,117,116,833,833,200,200,200,1003,2,1005,1,1,885,743,0,
04,20,2,1,1,10,5,4,3,18,3,1,117,117,117,833,833,200,200,200,1001,1,1002,1,1,1131,743,0,
04,20,2,1,1,10,5,4,3,18,4,8,118,117,117,832,833,200,200,200,134,139,115,1,1,1235,775,0,
04,20,2,1,1,10,5,4,3,18,5,2,117,114,116,836,833,200,200,200,1001,1,1002,1,1,721,775,0,
04,20,2,1,1,10,5,4,3,18,6,6,117,117,116,833,833,200,200,200,1006,120,1007,1,1,904,737,0,
04,20,2,1,1,10,5,4,3,18,7,3,115,117,116,833,833,200,200,200,1003,2,1004,1,1,1265,775,0,
04,20,2,1,1,10,5,4,3,18,8,5,117,116,117,833,833,200,200,200,1006,108,1007,1,1,732,842,0,
04,20,2,1,1,10,5,4,4,19,1,7,117,117,116,833,833,200,200,200,103,137,127,1,1,860,842,0,
04,20,2,1,1,10,5,4,4,19,2,3,116,117,115,834,835,200,200,200,1003,2,1004,1,1,865,873,0,
04,20,2,1,1,10,5,4,4,19,3,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,776,875,0,
04,20,2,1,1,10,5,4,4,19,4,5,117,116,117,835,833,200,200,200,1006,133,1007,1,1,720,875,0,
04,20,2,1,1,10,5,4,4,19,5,1,117,117,117,833,833,200,200,200,1001,1,1002,1,1,1047,875,0,
04,20,2,1,1,10,5,4,4,19,6,8,117,117,116,833,833,200,200,200,137,127,112,1,1,1013,895,0,
04,20,2,1,1,10,5,4,4,19,7,4,117,117,117,833,833,200,200,200,1003,2,1005,1,1,795,895,0,
04,20,2,1,1,10,5,4,4,19,8,6,117,117,117,833,833,200,200,200,1006,103,1007,1,1,917,895,0,
04,20,2,1,1,10,5,4,5,20,1,4,117,117,117,833,833,200,200,200,1003,2,1005,1,1,879,895,0,
04,20,2,1,1,10,5,4,5,20,2,5,117,116,117,834,833,200,200,200,1006,121,1007,1,1,829,882,0,
04,20,2,1,1,10,5,4,5,20,3,1,116,116,116,834,833,200,200,200,1001,1,1002,1,1,824,872,0,
04,20,2,1,1,10,5,4,5,20,4,8,117,117,117,833,833,200,200,200,109,115,144,1,1,833,863,0,
04,20,2,1,1,10,5,4,5,20,5,2,117,117,116,833,833,200,200,200,1001,1,1002,1,1,2060,863,0,
04,20,2,1,1,10,5,4,5,20,6,7,117,117,117,833,833,200,200,200,122,109,115,1,1,668,872,0,
04,20,2,1,1,10,5,4,5,20,7,3,117,117,117,833,833,200,200,200,1003,2,1004,6215,0,2435,863,0,
04,20,2,1,1,10,5,4,5,20,8,6,117,117,117,833,833,200,200,200,1006,122,1007,1,1,763,863,0,
04,20,2,1,1,10,5,5,1,21,1,1,117,117,117,833,833,200,200,200,1001,1,1002,1,1,828,847,0,
04,20,2,1,1,10,5,5,1,21,2,4,117,117,116,833,833,200,200,200,1003,2,1005,1,1,707,847,0,
04,20,2,1,1,10,5,5,1,21,3,8,117,117,117,833,833,200,200,200,124,136,148,1,1,801,831,0,
04,20,2,1,1,10,5,5,1,21,4,6,117,117,117,833,833,200,200,200,1006,152,1007,1,1,836,828,0,
04,20,2,1,1,10,5,5,1,21,5,7,116,117,116,833,833,200,200,200,152,124,136,1,1,880,831,0,
04,20,2,1,1,10,5,5,1,21,6,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,958,831,0,
04,20,2,1,1,10,5,5,1,21,7,3,117,117,116,833,832,200,200,200,1003,2,1004,1,1,760,831,0,
04,20,2,1,1,10,5,5,1,21,8,5,116,117,117,834,832,200,200,200,1006,116,1007,1,1,1029,831,0,
04,20,2,1,1,10,5,5,2,22,1,4,116,117,116,833,833,200,200,200,1003,2,1005,1,1,717,835,0,
04,20,2,1,1,10,5,5,2,22,2,6,117,117,117,833,833,200,200,201,1006,148,1007,1,1,764,831,0,
04,20,2,1,1,10,5,5,2,22,3,7,116,116,117,834,833,200,200,200,148,109,117,1,1,973,828,0,
04,20,2,1,1,10,5,5,2,22,4,2,117,116,117,833,833,200,200,200,1001,1,1002,1,1,742,831,0,
04,20,2,1,1,10,5,5,2,22,5,5,117,117,117,833,833,200,200,200,1006,118,1007,1,1,696,828,0,
04,20,2,1,1,10,5,5,2,22,6,8,117,117,116,833,833,200,200,200,109,117,132,1,1,1047,826,0,
04,20,2,1,1,10,5,5,2,22,7,1,116,117,117,833,833,200,200,200,1001,1,1002,1,1,709,826,0,
04,20,2,1,1,10,5,5,2,22,8,3,116,117,117,834,833,200,200,200,1003,2,1004,1,1,892,814,0,
04,20,2,1,1,10,5,5,3,23,1,8,116,117,116,833,833,200,200,200,145,151,116,1,1,878,814,0,
04,20,2,1,1,10,5,5,3,23,2,5,117,117,117,833,833,200,200,200,1006,142,1007,1,1,765,814,0,
04,20,2,1,1,10,5,5,3,23,3,1,116,117,117,833,833,200,200,200,1001,1,1002,1,1,660,814,0,
04,20,2,1,1,10,5,5,3,23,4,3,117,116,117,834,833,200,200,200,1003,2,1004,1,1,1048,783,0,
04,20,2,1,1,10,5,5,3,23,5,6,117,116,116,833,834,200,200,200,1006,150,1007,1,1,828,814,0,
04,20,2,1,1,10,5,5,3,23,6,7,117,117,116,833,833,200,200,200,150,145,151,1,1,687,815,0,
04,20,2,1,1,10,5,5,3,23,7,2,118,116,117,832,833,200,200,200,1001,1,1002,1,1,724,815,0,
04,20,2,1,1,10,5,5,3,23,8,4,117,118,117,833,832,200,200,200,1003,2,1005,1,1,858,797,0,
04,20,2,1,1,10,5,5,4,24,1,6,116,116,117,833,834,200,200,200,1006,140,1007,1,1,1103,797,0,
04,20,2,1,1,10,5,5,4,24,2,7,116,116,117,833,834,200,200,200,140,101,133,1,1,1054,797,0,
04,20,2,1,1,10,5,5,4,24,3,8,117,117,117,833,833,200,200,200,101,133,130,1,1,802,797,0,
04,20,2,1,1,10,5,5,4,24,4,1,117,118,116,833,833,200,200,200,1001,1,1002,1,1,738,815,0,
04,20,2,1,1,10,5,5,4,24,5,3,117,117,117,833,833,200,200,200,1003,2,1004,1,1,677,784,0,
04,20,2,1,1,10,5,5,4,24,6,2,117,117,117,832,833,200,200,200,1001,1,1002,1,1,605,784,0,
04,20,2,1,1,10,5,5,4,24,7,5,117,116,117,832,833,200,200,200,1006,131,1007,1,1,1251,784,0,
04,20,2,1,1,10,5,5,4,24,8,4,117,116,116,834,834,200,200,200,1003,2,1005,1,1,869,784,0,
04,20,2,1,1,10,5,5,5,25,1,2,116,117,116,833,834,200,200,200,1001,1,1002,1,1,734,815,0,
04,20,2,1,1,10,5,5,5,25,2,8,117,117,117,833,833,200,200,200,106,136,114,1,1,1236,815,0,
04,20,2,1,1,10,5,5,5,25,3,3,116,117,116,834,834,200,200,200,1003,2,1004,1,1,843,815,0,
04,20,2,1,1,10,5,5,5,25,4,5,117,116,117,834,833,200,200,200,1006,122,1007,1,1,704,836,0,
04,20,2,1,1,10,5,5,5,25,5,7,116,117,117,833,833,200,200,200,132,106,136,1,1,891,815,0,
04,20,2,1,1,10,5,5,5,25,6,4,117,117,116,833,834,200,200,200,1003,2,1005,1,1,703,815,0,
04,20,2,1,1,10,5,5,5,25,7,6,117,117,117,833,833,200,200,200,1006,132,1007,1,1,767,815,0,
04,20,2,1,1,10,5,5,5,25,8,1,117,117,117,833,833,200,200,200,1001,1,1002,1,1,751,815,0,
04,20,2,1,1,10,5,6,1,26,1,5,117,117,117,833,833,200,200,200,1006,134,1007,1,1,829,785,0,
04,20,2,1,1,10,5,6,1,26,2,2,116,116,118,835,833,200,200,200,1001,1,1002,1,1,673,785,0,
04,20,2,1,1,10,5,6,1,26,3,6,116,116,117,833,833,200,200,200,1006,112,1007,1,1,714,785,0,
04,20,2,1,1,10,5,6,1,26,4,4,114,116,117,834,833,200,200,200,1003,2,1005,1,1,2400,785,0,
04,20,2,1,1,10,5,6,1,26,5,7,116,117,117,833,833,200,200,200,112,113,121,1,1,548,785,0,
04,20,2,1,1,10,5,6,1,26,6,8,117,117,116,833,833,200,200,200,113,121,131,1,1,871,759,0,
04,20,2,1,1,10,5,6,1,26,7,3,117,117,117,833,833,200,200,200,1003,2,1004,1847,0,889,759,0,
04,20,2,1,1,10,5,6,1,26,8,1,117,117,116,833,833,200,200,200,1001,1,1002,1,1,735,759,0,
04,20,2,1,1,10,5,6,2,27,1,8,116,117,116,833,833,200,200,200,131,127,138,1,1,619,759,0,
04,20,2,1,1,10,5,6,2,27,2,7,117,116,117,833,833,200,200,200,118,131,127,1,1,991,759,0,
04,20,2,1,1,10,5,6,2,27,3,3,116,116,117,834,833,200,200,200,1003,2,1004,1,1,1019,798,0,
04,20,2,1,1,10,5,6,2,27,4,2,117,117,116,833,834,200,200,200,1001,1,1002,1,1,767,798,0,
04,20,2,1,1,10,5,6,2,27,5,6,116,117,117,833,833,200,200,200,1006,118,1007,1,1,1204,767,0,
04,20,2,1,1,10,5,6,2,27,6,4,117,116,117,833,834,200,200,200,1003,2,1005,1,1,929,798,0,
04,20,2,1,1,10,5,6,2,27,7,5,117,117,116,833,833,200,200,200,1006,102,1007,1,1,1226,798,0,
04,20,2,1,1,10,5,6,2,27,8,1,118,116,116,833,834,200,200,200,1001,1,1002,1,1,948,798,0,
04,20,2,1,1,10,5,6,3,28,1,4,116,117,117,833,833,200,200,200,1003,2,1005,1,1,1185,850,0,
04,20,2,1,1,10,5,6,3,28,2,6,116,116,117,833,833,200,200,200,1006,115,1007,1,1,653,850,0,
04,20,2,1,1,10,5,6,3,28,3,1,117,116,117,833,833,200,200,200,1001,1,1002,1,1,735,850,0,
04,20,2,1,1,10,5,6,3,28,4,3,119,117,116,831,834,200,200,200,1003,2,1004,1,1,827,850,0,
04,20,2,1,1,10,5,6,3,28,5,5,117,117,116,834,832,200,200,200,1006,107,1007,1,1,895,850,0,
04,20,2,1,1,10,5,6,3,28,6,2,116,116,117,833,833,200,200,200,1001,1,1002,1,1,698,880,0,
04,20,2,1,1,10,5,6,3,28,7,8,117,116,117,833,833,200,200,200,129,140,105,1,1,1216,880,0,
04,20,2,1,1,10,5,6,3,28,8,7,117,117,117,833,833,200,200,200,115,129,140,1,1,732,892,0,
04,20,2,1,1,10,5,6,4,29,1,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,726,880,0,
04,20,2,1,1,10,5,6,4,29,2,6,117,117,116,832,833,200,200,200,1006,146,1007,1,1,948,880,0,
04,20,2,1,1,10,5,6,4,29,3,7,117,117,117,833,833,200,200,200,146,127,143,1,1,986,892,0,
04,20,2,1,1,10,5,6,4,29,4,5,118,117,117,832,833,200,200,200,1006,113,1007,1,1,1011,912,0,
04,20,2,1,1,10,5,6,4,29,5,1,116,119,117,834,831,200,200,200,1001,1,1002,1,1,609,938,0,
04,20,2,1,1,10,5,6,4,29,6,3,116,117,117,834,833,200,200,200,1003,2,1004,1,1,609,938,0,
