ID,Age,Gender,Group,Routine,NBlocks,NSets4Block,Block,Set,SetInd,Triplet,Type,Prime1Dur,Prime2Dur,Prime3Dur,Named1Dur,Named2Dur,Named1Snd2VisDelay,Named2Snd2VisDelay,TargetSnd2VisDelay,Named1StmCode,Named2StmCode,TargetCode,TargetNRsp,TargetACC,TargetRT,TargetRTThresh,TargetRewardGiven?,
026,0,1,1,2,10,5,1,1,1,1,3,117,116,117,833,833,200,200,200,1003,2,1004,1,1,670,724,0,
026,0,1,1,2,10,5,1,1,1,2,7,117,117,117,833,833,200,200,200,110,105,129,1,1,832,724,0,
026,0,1,1,2,10,5,1,1,1,3,8,117,117,116,833,833,200,200,200,105,129,111,1,1,614,738,0,
026,0,1,1,2,10,5,1,1,1,4,1,117,117,117,833,833,200,200,200,1001,1,1002,1,1,762,718,0,
026,0,1,1,2,10,5,1,1,1,5,6,116,117,117,833,833,200,200,200,1006,110,1007,1,1,715,738,0,
026,0,1,1,2,10,5,1,1,1,6,4,117,116,118,834,833,200,200,200,1003,2,1005,1,1,642,735,0,
026,0,1,1,2,10,5,1,1,1,7,5,116,116,116,834,834,200,200,200,1006,118,1007,1,1,909,715,0,
026,0,1,1,2,10,5,1,1,1,8,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,773,715,0,
026,0,1,1,2,10,5,1,2,2,1,6,116,116,117,833,834,200,200,200,1006,105,1007,1,1,802,715,0,
026,0,1,1,2,10,5,1,2,2,2,8,117,116,117,833,900,200,200,200,125,127,130,1,1,580,735,0,
026,0,1,1,2,10,5,1,2,2,3,2,117,117,116,833,833,200,200,200,1001,1,1002,1,1,912,711,0,
026,0,1,1,2,10,5,1,2,2,4,4,117,116,117,834,833,200,200,200,1003,2,1005,1,1,640,711,0,
026,0,1,1,2,10,5,1,2,2,5,7,116,116,116,833,834,200,200,200,105,125,127,1,1,862,696,0,
026,0,1,1,2,10,5,1,2,2,6,1,117,117,117,833,833,200,200,200,1001,1,1002,1,1,775,701,0,
026,0,1,1,2,10,5,1,2,2,7,3,117,118,117,833,832,200,200,200,1003,2,1004,1,1,580,735,0,
026,0,1,1,2,10,5,1,2,2,8,5,117,117,116,833,833,200,200,200,1006,123,1007,1,1,612,700,0,
026,0,1,1,2,10,5,1,3,3,1,7,117,117,116,833,833,200,200,200,121,138,116,1,1,641,700,0,
026,0,1,1,2,10,5,1,3,3,2,6,116,117,116,833,834,200,200,200,1006,121,1007,1,1,653,700,0,
026,0,1,1,2,10,5,1,3,3,3,1,117,117,117,833,833,200,200,200,1001,1,1002,1,1,844,700,0,
026,0,1,1,2,10,5,1,3,3,4,3,117,117,117,833,833,200,200,200,1003,2,1004,1,1,729,700,0,
026,0,1,1,2,10,5,1,3,3,5,5,116,117,117,833,833,200,200,200,1006,125,1007,1,1,641,722,0,
026,0,1,1,2,10,5,1,3,3,6,2,117,117,116,832,833,200,200,200,1001,1,1002,1689,0,1071,722,0,
026,0,1,1,2,10,5,1,3,3,7,8,116,116,117,833,834,200,200,200,138,116,135,1,1,784,722,0,
026,0,1,1,2,10,5,1,3,3,8,4,117,117,116,833,833,200,200,200,1003,2,1005,1,1,825,746,0,
026,0,1,1,2,10,5,1,4,4,1,1,116,117,117,833,833,200,200,200,1001,1,1002,1,1,622,751,0,
026,0,1,1,2,10,5,1,4,4,2,6,117,116,116,832,834,200,200,200,1006,130,1007,1,1,772,751,0,
026,0,1,1,2,10,5,1,4,4,3,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,664,772,0,
026,0,1,1,2,10,5,1,4,4,4,4,116,116,116,834,834,200,200,200,1003,2,1005,1,1,735,751,0,
