ID,Age,Gender,Group,Routine,NBlocks,NSets4Block,Block,Set,SetInd,Triplet,Type,Prime1Dur,Prime2Dur,Prime3Dur,Named1Dur,Named2Dur,Named1Snd2VisDelay,Named2Snd2VisDelay,TargetSnd2VisDelay,Named1StmCode,Named2StmCode,TargetCode,TargetNRsp,TargetACC,TargetRT,TargetRTThresh,TargetRewardGiven?,
003,0,1,1,1,10,5,1,1,1,1,3,116,117,117,833,833,200,200,200,1003,2,1004,1,1,639,846,0,
003,0,1,1,1,10,5,1,1,1,2,7,117,117,117,833,833,200,200,200,110,105,129,1,1,576,846,0,
003,0,1,1,1,10,5,1,1,1,3,8,117,117,117,833,833,200,200,200,105,129,111,1,1,775,846,0,
003,0,1,1,1,10,5,1,1,1,4,1,117,118,117,833,833,200,200,200,1001,1,1002,1,1,834,846,0,
003,0,1,1,1,10,5,1,1,1,5,6,117,117,117,833,833,200,200,200,1006,110,1007,1,1,1007,853,0,
003,0,1,1,1,10,5,1,1,1,6,4,117,117,116,833,833,200,200,200,1003,2,1005,369,0,997,853,0,
003,0,1,1,1,10,5,1,1,1,7,5,117,116,117,833,833,200,200,200,1006,118,1007,1,1,689,875,0,
003,0,1,1,1,10,5,1,1,1,8,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,788,875,0,
003,0,1,1,1,10,5,1,2,2,1,7,117,117,117,833,834,200,200,200,115,136,117,1,1,787,853,0,
003,0,1,1,1,10,5,1,2,2,2,3,116,117,117,833,833,200,200,200,1003,2,1004,1,1,663,811,0,
003,0,1,1,1,10,5,1,2,2,3,8,116,117,117,833,833,200,200,200,136,117,147,890,0,1032,811,0,
003,0,1,1,1,10,5,1,2,2,4,2,117,117,116,833,833,200,200,200,1001,1,1002,1,1,675,811,0,
003,0,1,1,1,10,5,1,2,2,5,6,116,117,117,833,833,200,200,200,1006,115,1007,1,1,803,788,0,
003,0,1,1,1,10,5,1,2,2,6,1,117,117,116,833,834,200,200,200,1001,1,1002,1,1,856,788,0,
