ID,Age,Gender,Group,Routine,NBlocks,NSets4Block,Block,Set,SetInd,Triplet,Type,Prime1Dur,Prime2Dur,Prime3Dur,Named1Dur,Named2Dur,Named1Snd2VisDelay,Named2Snd2VisDelay,TargetSnd2VisDelay,Named1StmCode,Named2StmCode,TargetCode,TargetNRsp,TargetACC,TargetRT,TargetRTThresh,TargetRewardGiven?,
002,0,1,1,1,10,5,1,1,1,1,3,117,116,116,833,833,200,200,200,1003,2,1004,1,1,762,800,0,
002,0,1,1,1,10,5,1,1,1,2,7,116,117,117,833,833,200,200,200,110,105,129,1,1,765,778,0,
002,0,1,1,1,10,5,1,1,1,3,8,117,117,117,833,833,200,200,200,105,129,111,1,1,622,763,0,
002,0,1,1,1,10,5,1,1,1,4,1,116,117,116,833,833,200,200,200,1001,1,1002,1,1,518,763,0,
002,0,1,1,1,10,5,1,1,1,5,6,116,117,117,833,833,200,200,200,1006,110,1007,1,1,832,763,0,
002,0,1,1,1,10,5,1,1,1,6,4,117,117,117,833,833,200,200,200,1003,2,1005,1,1,496,779,0,
002,0,1,1,1,10,5,1,1,1,7,5,117,117,117,833,833,200,200,200,1006,118,1007,1,1,586,763,0,
002,0,1,1,1,10,5,1,1,1,8,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,533,762,0,
002,0,1,1,1,10,5,1,2,2,1,7,117,117,117,832,833,200,200,200,115,136,117,1,1,666,762,0,
002,0,1,1,1,10,5,1,2,2,2,3,117,117,117,833,833,200,200,200,1003,2,1004,371,0,830,762,0,
002,0,1,1,1,10,5,1,2,2,3,8,117,117,116,833,833,200,200,200,136,117,147,350,0,961,762,0,
002,0,1,1,1,10,5,1,2,2,4,2,117,116,117,834,833,200,200,200,1001,1,1002,1,1,522,762,0,
002,0,1,1,1,10,5,1,2,2,5,6,116,116,117,834,833,200,200,200,1006,115,1007,1,1,775,723,0,
002,0,1,1,1,10,5,1,2,2,6,1,117,117,116,833,833,200,200,200,1001,1,1002,1,1,581,762,0,
002,0,1,1,1,10,5,1,2,2,7,4,116,117,117,833,833,200,200,200,1003,2,1005,1,1,572,714,0,
002,0,1,1,1,10,5,1,2,2,8,5,117,117,117,833,833,200,200,200,1006,107,1007,1,1,807,644,0,
002,0,1,1,1,10,5,1,3,3,1,4,117,118,117,833,833,200,200,200,1003,2,1005,1,1,488,714,0,
002,0,1,1,1,10,5,1,3,3,2,1,116,117,117,833,833,200,200,200,1001,1,1002,1,1,639,644,0,
002,0,1,1,1,10,5,1,3,3,3,6,117,116,117,833,833,200,200,200,1006,130,1007,1,1,668,652,0,
002,0,1,1,1,10,5,1,3,3,4,3,117,117,117,833,833,200,200,200,1003,2,1004,1,1,649,652,0,
002,0,1,1,1,10,5,1,3,3,5,7,117,117,117,833,833,200,200,200,130,152,147,613,0,901,644,0,
002,0,1,1,1,10,5,1,3,3,6,2,117,116,118,833,833,200,200,200,1001,1,1002,1,1,498,644,0,
002,0,1,1,1,10,5,1,3,3,7,8,117,117,117,833,833,200,200,200,152,147,151,1,1,529,630,0,
002,0,1,1,1,10,5,1,3,3,8,5,117,117,116,833,833,200,200,200,1006,137,1007,1,1,601,613,0,
002,0,1,1,1,10,5,1,4,4,1,3,116,117,117,833,833,200,200,200,1003,2,1004,1164,0,876,620,0,
002,0,1,1,1,10,5,1,4,4,2,1,116,116,117,834,833,200,200,200,1001,1,1002,1,1,599,620,0,
002,0,1,1,1,10,5,1,4,4,3,8,117,116,117,833,834,200,200,200,131,145,144,1,1,1053,620,0,
002,0,1,1,1,10,5,1,4,4,4,2,117,117,116,833,833,200,200,200,1001,1,1002,1,1,591,644,0,
002,0,1,1,1,10,5,1,4,4,5,5,117,117,117,833,833,200,200,200,1006,120,1007,1,1,475,644,0,
002,0,1,1,1,10,5,1,4,4,6,4,117,116,117,833,833,200,200,200,1003,2,1005,1,1,538,620,0,
002,0,1,1,1,10,5,1,4,4,7,7,116,117,117,833,833,200,200,200,114,131,145,1,1,503,600,0,
002,0,1,1,1,10,5,1,4,4,8,6,116,117,116,834,833,200,200,200,1006,114,1007,1,1,641,595,0,
002,0,1,1,1,10,5,1,5,5,1,2,116,116,117,833,834,200,200,200,1001,1,1002,1,1,429,600,0,
002,0,1,1,1,10,5,1,5,5,2,5,117,116,117,834,833,200,200,200,1006,137,1007,1,1,403,595,0,
